,id,Airport Name,City,Country,IATA Code,ICAO Code,Latitude,Longitude,Altitude,UTC TimeZone,DST,Continent/State
6238,7115,Beaver Airport,Beaver,United States,WBQ,PAWB,66.3621979,-147.406998,359,-9,A,America/Anchorage
6239,7116,Central Airport,Central,United States,CEM,PACE,65.5737991,-144.783005,937,-9,A,America/Anchorage
6240,10138,Brunswick County Airport,Oak Island,United States,\N,KSUT,33.9292984,-78.074997,24,-5,A,\N
6241,7107,Hughes Airport,Hughes,United States,HUS,PAHU,66.0410996,-154.263001,299,-9,A,America/Anchorage
6242,10145,Leesburg International Airport,Leesburg,United States,LEE,KLEE,28.8230991,-81.8087006,76,-5,A,\N
6243,7106,Eagle Airport,Eagle,United States,EAA,PAEG,64.7763977,-141.151001,908,-9,A,America/Anchorage
6244,7108,Huslia Airport,Huslia,United States,HSL,PAHL,65.6978989,-156.350998,220,-9,A,America/Anchorage
6245,10144,Henderson Oxford Airport,Oxford,United States,\N,KHNZ,36.361599,-78.5291977,526,-5,A,\N
6246,10128,Jim Hamilton L.B. Owens Airport,Columbia,United States,CUB,KCUB,33.9705009,-80.9952011,193,-4,A,\N
6247,10123,Nappanee Municipal Airport,Nappanee,United States,\N,KC03,41.4462013,-85.9347992,860,-5,A,\N
6248,10129,Grove Municipal Airport,Grove,United States,\N,KGMJ,36.6068001,-94.7386017,831,-5,A,\N
6249,10121,Mount Sterling Montgomery County Airport,Mount Sterling,United States,\N,KIOB,38.0581017,-83.979599,1019,-5,A,\N
6250,10122,Elkhart Municipal Airport,Elkhart,United States,EKI,KEKM,41.7193985,-86.0031967,778,-5,A,\N
6251,10133,Hartsville Regional Airport,Hartsville,United States,HVS,KHVS,34.4030991,-80.1192017,364,-5,A,\N
6252,10132,Perry Houston County Airport,Perry,United States,\N,KPXE,32.510601,-83.7673035,418,-4,A,\N
6253,10134,Horace Williams Airport,Chapel Hill,United States,\N,KIGX,35.935001,-79.065902,512,-5,A,\N
6254,10130,Mc Pherson Airport,Mc Pherson,United States,\N,KMPR,38.3524017,-97.6912994,1498,-5,A,\N
6255,10131,Donaldson Field Airport,Greenville,United States,GDC,KGYH,34.758301,-82.376404,955,-4,A,\N
6256,11092,Larned Pawnee County Airport,Larned,United States,\N,KLQR,38.2085991,-99.0859985,2012,-5,A,\N
6257,11091,Augusta Municipal Airport,Augusta,United States,\N,K3AU,37.6716003,-97.0779037,1328,-5,A,\N
6258,11093,Lampasas Airport,Lampasas,United States,\N,KLZZ,31.1061993,-98.1959,1215,-5,A,\N
6259,11089,Flagler Aerial Spraying Inc Airport,Flagler,United States,\N,CO00,39.2799988,-103.067001,4945,-6,A,\N
6260,11088,Ulysses Airport,Ulysses,United States,\N,KULS,37.6040001,-101.374001,3071,-5,A,\N
6261,11090,Independence Municipal Airport,Independence,United States,IDP,KIDP,37.1584015,-95.7783966,825,-5,A,\N
6262,11097,The Farm Airport,Summit,United States,\N,24SC,33.9357986,-81.4297028,580,-4,A,\N
6263,11096,Coffeyville Municipal Airport,Coffeyville,United States,CFV,KCFV,37.0940018,-95.5718994,754,-5,A,\N
6264,11098,Greeley–Weld County Airport,Greeley,United States,GXY,KGXY,40.4374008,-104.633003,4697,-7,A,\N
6265,11094,Bay City Municipal Airport,Bay City,United States,BBC,KBYY,28.9733009,-95.8635025,45,-5,A,\N
6266,11095,Cox Field,Paris,United States,PRX,KPRX,33.6366005,-95.450798,547,-5,A,\N
6267,11079,King Ranch Airport,Sutton,United States,\N,AK59,61.7956009,-148.354996,1350,-8,A,\N
6268,11078,Neodesha Municipal Airport,Neodesha,United States,\N,K2K7,37.4353981,-95.6461029,841,-5,A,\N
6269,11080,Elkhart Morton County Airport,Elkhart,United States,\N,KEHA,37.000702,-101.879997,3622,-5,A,\N
6270,11076,Council Bluffs Municipal Airport,Council Bluffs,United States,CBF,KCBF,41.259201,-95.7605972,1253,-5,A,\N
6271,11075,Sublette Municipal Airport,Sublette,United States,\N,K19S,37.4914017,-100.830002,2908,-5,A,\N
6272,11077,Kokomo Municipal Airport,Kokomo,United States,OKK,KOKK,40.5281982,-86.0589981,830,-4,A,\N
6273,11086,Meade Municipal Airport,Meade,United States,\N,KMEJ,37.2769012,-100.356003,2529,-5,A,\N
6274,11084,Guymon Municipal Airport,Guymon,United States,GUY,KGUY,36.6851006,-101.508003,3123,-5,A,\N
6275,11087,Turkey Mountain Estates Airport,Shell Knob,United States,\N,MO00,36.5917015,-93.6669006,1000,-5,A,\N
6276,11081,Front Range Airport,Denver,United States,\N,KFTG,39.7853012,-104.542999,5512,-6,A,\N
6277,11082,Galesburg Municipal Airport,Galesburg,United States,GBG,KGBG,40.9379997,-90.4310989,764,-5,A,\N
6278,5776,Valdosta Regional Airport,Valdosta,United States,VLD,KVLD,30.7824993,-83.2767029,203,-5,A,America/New_York
6279,5777,Worland Municipal Airport,Worland,United States,WRL,KWRL,43.9656982,-107.950996,4227,-7,A,America/Denver
6280,11141,Arlington Municipal Airport,Arlington,United States,\N,KAWO,48.1607018,-122.158997,142,-8,A,\N
6281,7035,Hutchinson Municipal Airport,Hutchinson,United States,HUT,KHUT,38.0654984,-97.8606033,1543,-6,A,America/Chicago
6282,3765,Chandler Municipal Airport,Chandler,United States,\N,KCHD,33.2691,-111.810997,1243,-7,A,America/Phoenix
6283,11134,Karl Stefan Memorial Airport,Norfolk Nebraska,United States,OFK,KOFK,41.9855003,-97.4350967,1573,-6,A,\N
6284,11153,Peter O Knight Airport,Tampa,United States,TPF,KTPF,27.9155998,-82.4493027,8,-5,U,\N
6285,7025,Catalina Airport,Catalina Island,United States,AVX,KAVX,33.4049,-118.416,1602,-8,A,America/Los_Angeles
6286,7023,Corpus Christi Naval Air Station/Truax Field,Corpus Christi,United States,\N,KNGP,27.6926003,-97.2910996,18,-6,A,America/Chicago
6287,3766,Mineral Wells Airport,Mineral Wells,United States,MWL,KMWL,32.781601,-98.0602036,974,-6,A,America/Chicago
6288,7026,Mojave Airport,Mojave,United States,MHV,KMHV,35.0593987,-118.152,2801,-8,A,America/Los_Angeles
6289,11102,La Grande/Union County Airport,La Grande,United States,LGD,KLGD,45.2901993,-118.007004,2717,-7,A,\N
6290,11101,Fremont Municipal Airport,Fremont,United States,FET,KFET,41.4491005,-96.5202026,1204,-5,A,\N
6291,3763,Wright-Patterson Air Force Base,Dayton,United States,FFO,KFFO,39.8260994,-84.0483017,823,-5,A,America/New_York
6292,11099,General Dewitt Spain Airport,Memphis,United States,\N,KM01,35.2006989,-90.0540009,225,-4,A,\N
6293,11100,Oryol Yuzhny Airport,Oakley,United States,OEL,UUOR,52.9347,36.0022011,656,-5,A,\N
6294,7042,Rosecrans Memorial Airport,Rosecrans,United States,STJ,KSTJ,39.7719002,-94.9096985,826,-6,A,America/Chicago
6295,3764,Edward G. Pitka Sr Airport,Galena,United States,GAL,PAGA,64.7361984,-156.936997,153,-9,A,America/Anchorage
6296,11131,Banning Municipal Airport,Banning,United States,BNG,KBNG,33.9230995,-116.850998,2219,-8,A,\N
6297,11110,Pocono Mountains Municipal Airport,Mount Pocono,United States,MPO,KMPO,41.137503,-75.378897,1915,-5,A,\N
6298,11111,Quakertown Airport,Quakertown,United States,UKT,KUKT,40.4351997,-75.381897,526,-5,A,\N
6299,11010,Troy Municipal Airport at N Kenneth Campbell Field,Troy,United States,TOI,KTOI,31.860399,-86.012101,398,-5,A,\N
6300,7067,Alliance Municipal Airport,Alliance,United States,AIA,KAIA,42.0531998,-102.804001,3931,-7,A,America/Denver
6301,11011,Merkel Field Sylacauga Municipal Airport,Sylacauga,United States,\N,KSCD,33.1717987,-86.3054962,569,-5,A,\N
6302,11005,Greenville Downtown Airport,Greenville,United States,GMU,KGMU,34.8479004,-82.3499985,1048,-4,A,\N
6303,5779,Yakima Air Terminal McAllister Field,Yakima,United States,YKM,KYKM,46.5681992,-120.543999,1099,-8,A,America/Los_Angeles
6304,11008,Mankato Regional Airport,Mankato,United States,\N,KMKT,44.2215996,-93.9187012,1021,-6,A,\N
6305,7065,Sidney - Richland Regional Airport,Sidney,United States,SDY,KSDY,47.706902,-104.193001,1985,-7,A,America/Denver
6306,7066,Chadron Municipal Airport,Chadron,United States,CDR,KCDR,42.8376007,-103.095001,3297,-7,A,America/Denver
6307,7064,Dickinson Theodore Roosevelt Regional Airport,Dickinson,United States,DIK,KDIK,46.7974014,-102.802002,2592,-7,A,America/Denver
6308,11012,Enterprise Municipal Airport,Enterprise,United States,ETS,KEDN,31.2996998,-85.8999023,361,-5,A,\N
6309,11017,Ryan Field,Tucson,United States,\N,KRYN,32.1422005,-111.175003,2417,-7,A,\N
6310,7073,San Luis Valley Regional Bergman Field,Alamosa,United States,ALS,KALS,37.434898,-105.866997,7539,-7,A,America/Denver
6311,7074,Canyonlands Field,Moab,United States,CNY,KCNY,38.7550011,-109.754997,4557,-7,A,America/Denver
6312,7072,Yellowstone Airport,West Yellowstone,United States,WYS,KWYS,44.6884003,-111.117996,6649,-7,A,America/Denver
6313,7076,Vernal Regional Airport,Vernal,United States,VEL,KVEL,40.4408989,-109.510002,5278,-7,A,America/Denver
6314,7077,Sierra Blanca Regional Airport,Ruidoso,United States,RUI,KSRR,33.4627991,-105.535004,6814,-7,A,America/Denver
6315,7075,Ely Airport Yelland Field,Ely,United States,ELY,KELY,39.2997017,-114.842003,6259,-8,A,America/Los_Angeles
6316,7068,Mc Cook Ben Nelson Regional Airport,McCook,United States,MCK,KMCK,40.2062988,-100.592003,2583,-6,A,America/Chicago
6317,7069,The Florida Keys Marathon Airport,Marathon,United States,MTH,KMTH,24.726101,-81.051399,5,-5,A,America/New_York
6318,11004,Talladega Municipal Airport,Talladega,United States,ASN,KASN,33.5699005,-86.0509033,529,-5,A,\N
6319,7071,L M Clayton Airport,Wolf Point,United States,OLF,KOLF,48.0945015,-105.574997,1986,-7,A,America/Denver
6320,7070,Dawson Community Airport,Glendive,United States,GDV,KGDV,47.1386986,-104.806999,2458,-7,A,America/Denver
6321,11068,New Castle Henry Co. Municipal Airport,New Castle,United States,\N,KUWL,39.8759003,-85.3264999,1088,-4,A,\N
6322,11067,Ridgely Airpark,Ridgely,United States,\N,KRJD,38.9701004,-75.8663025,64,-5,A,\N
6323,11069,Scott City Municipal Airport,Scott City,United States,\N,KTQK,38.4743004,-100.885002,2963,-5,A,\N
6324,3762,Princeton Municipal Airport,Princeton,United States,\N,KPNM,45.5598984,-93.6082001,980,-6,A,America/Chicago
6325,7053,Zamperini Field,Torrance,United States,TOA,KTOA,33.8033981,-118.339996,103,-8,A,America/Los_Angeles
6326,7051,Gunnison Crested Butte Regional Airport,Gunnison,United States,GUC,KGUC,38.5339012,-106.932999,7680,-7,A,America/Denver
6327,11073,Wahoo Municipal Airport,Wahoo,United States,\N,KAHQ,41.2412987,-96.5940018,1224,-5,A,\N
